,lat_map,lon_map,time,id,date,time_s,address_map,incident_id,type,department,clean-type,match,drone-date
42,32.6031576,-117.0851599,11:56am,1b9da2f712c3bfe83a34a1644f5e17c2,2021-07-03,11:56am,1265 Industrial Blvd.,CVL54906,Welfare Check,cvpd,welfare check,54906,2021-07-03 11:56:00
69,32.6358678,-117.0992377,12:17pm,05c9541c8bfa0db405415926eb6e09e6,2021-07-05,12:17pm,800 Lagoon Dr.,CVL55639,Subject Causing Disturbance,cvpd,subject causing disturbance,55639,2021-07-05 12:17:00
70,32.608699,-117.081237,12:04pm,29ea6b19fc4d39ef9714bea73d7368f5,2021-07-05,12:04pm,1130 Broadway,CVL55637,Traffic Hazard,cvpd,traffic hazard,55637,2021-07-05 12:04:00
91,32.6174279,-117.07165701,5:00pm,8dc1e141829cd5dd3993c4e4f6057534,2021-07-07,5:00pm,330 Moss St,,,cvpd,,nan,2021-07-07 17:00:00
125,32.6061695,-117.0548518,3:30pm,b36caa87e3c346b92a9bb0778ee58cf2,2021-07-09,3:30pm,1400 TOBIAS,L056969,FAMILY DISTURBANCE,cvpd,family disturbance,56969,2021-07-09 15:30:00
153,32.6099128,-117.0816837,2:30pm,3360bd2bd0e4351719cf1c72f5f00e92,2021-07-11,2:30pm,1100 BROADWAY,L057593,MENTAL ISSUE,cvpd,mental issue,57593,2021-07-11 14:30:00
154,32.6100196,-117.0912704,1:52pm,1d5da18367bfe212e37f4e404d969b95,2021-07-11,1:52pm,1031 BAY,L057580,PERSON DOWN,cvpd,person down,57580,2021-07-11 13:52:00
204,32.6099128,-117.0816837,12:32pm,cb9edf40d2767fc4681ab1faa7ad56c8,2021-07-13,12:32pm,1100 Broadway,CVL58157,Traffic Hazard,cvpd,traffic hazard,58157,2021-07-13 12:32:00
234,32.6066251,-117.0829019,12:37pm,9ad49a237e7aa1ab29bc358db58c3b64,2021-07-15,12:37pm,1150 BROADWAY,L058737,VEHICLE BURGLARY,cvpd,vehicle burglary,58737,2021-07-15 12:37:00
238,32.6105634,-117.0809942,9:57am,5b2ab7083df85743c9680ef0ff6cab2d,2021-07-15,9:57am,1097 BROADWAY,L058683,PERSON CAUSING A DISTURBANCE,cvpd,person causing a disturbance,58683,2021-07-15 09:57:00
246,32.61368,-117.0828014,1:29pm,e241b6b5ede7cca487e5e2ddd8a6763b,2021-07-16,1:29pm,600 Moss St.,CVL59035,Vehicle Theft,cvpd,vehicle theft,59035,2021-07-16 13:29:00
256,32.60659,-117.0844,4:03pm,69fd8625c3bddc25dc1098bbe5afc0af,2021-07-16,4:03pm,670 Oxford St.,CVL59060,Subject Causing Disurbance,cvpd,subject causing disurbance,59060,2021-07-16 16:03:00
262,32.6064137,-117.0799776,11:33am,988a459a1753ab9d4f7366e3640b6696,2021-07-16,11:33am,Broadway/ Oxford St.,CVL58995,Traffic Hazard,cvpd,traffic hazard,58995,2021-07-16 11:33:00
290,32.6066251,-117.0829019,2:59pm,7d66112f14584853ae4cdbf4892e95ad,2021-07-17,2:59pm,1150 Broadway,CVL59371,Subject Causing Disturbance,cvpd,subject causing disturbance,59371,2021-07-17 14:59:00
301,32.603989,-117.0856962,1:41pm,60f3ff4dad2d2b7f4642fab54e6afed4,2021-07-18,1:41pm,Industrial Blvd./ Palomar St.,CVL59649,Collision,cvpd,collision,59649,2021-07-18 13:41:00
338,32.6050972,-117.0724577,2:17pm,d532044e58ee115c540e8543468bcc0d,2021-07-20,2:17pm,Palomar St./ I-5,CVL60210,DUI,cvpd,dui,60210,2021-07-20 14:17:00
354,32.6384136,-117.0935654,4:34pm,2c3a86130a8dae8431fd47111092ea70,2021-07-21,4:34pm,1100 INDUSTRIAL,L60650,VEHICLE BURGLARY,cvpd,vehicle burglary,60650,2021-07-21 16:34:00
386,32.6066407,-117.0843813,10:19am,64b39594c7388dc8ac9a842e7194c55f,2021-07-22,10:19am,670 OXFORD,L060859,ARMED PERSON,cvpd,armed person,60859,2021-07-22 10:19:00
502,32.6042281,-117.0880386,10:08am,ce08f738e39c4684f6543be1ce7ff3d7,2021-07-26,10:08am,Walnut Ave./ Palomar St.,CVL62057,Robbery,cvpd,robbery,62057,2021-07-26 10:08:00
514,32.60659,-117.0844,1:46pm,22c16cf7fd3efc4907401727a09223ac,2021-07-27,1:46pm,670 Oxford St.,CVL62431,Welfare Check,cvpd,welfare check,62431,2021-07-27 13:46:00
652,32.6122428,-117.0879862,2:11pm,b6c1494f4e9d71ff6e9530e6d47527dc,2021-08-02,2:11pm,1000 Colorado Ave.,CVL64142,Suspicious Person,cvpd,suspicious person,64142,2021-08-02 14:11:00
700,32.6023583,-117.0924666,10:12am,a97387c36aac7689667ba3bccc835220,2021-08-04,10:12am,1400 BAY BLVD,L064649,STOLEN CAR,cvpd,stolen car,64649,2021-08-04 10:12:00
717,32.6055125,-117.0817067,10:45am,6abd8a677610315eea93b00d66117634,2021-08-05,10:45am,635 OXFORD,L065027,BURGLARY,cvpd,burglary,65027,2021-08-05 10:45:00
738,32.6047624,-117.0810631,4:22pm,2166c8edb3f1e8936edf4e424c2259bf,2021-08-07,4:22pm,1240 BROADWAY,L065700,WEAPON THREAT/KNIFE,cvpd,weapon threat/knife,65700,2021-08-07 16:22:00
