lat_map,lon_map,time,id,date,time_s,address_map,incident_id,type,department,clean-type,match,drone-date,Incident No.,Date,Description,Priority,Disposition,Call Source,Zip Code,Block Location,Case No,Address,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS (block),Full FIPS (tract),Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code,Metropolitan Division Area Name,Metropolitan Division Area Code,cfs-date
32.634122,-117.0909691,1:58pm,50110c361714e19e432ea1ae2912324a,2021-07-10,1:58pm,400 BROADWAY,L057264,PERSON CAUSING A DISTURBANCE,cvpd,person causing a disturbance,57264,2021-07-10 13:58:00,210710L00057264,2021-07-10 14:14:33.287,Disturbance - General,3,HANDLED NO REPORT,citizen,91910,400 BLOCK BROADWAY,,"400 BLOCK BROADWAY, Chula Vista, CA, 91910",32.634152,-117.090964,1,rooftop,400,Broadway,,,Chula Vista,CA,San Diego County,91910,US,San Diego Geographic Information Source - JPA,2022,06,06073,Chula Vista,0613392,012501,2000,2,060730125012000,06073012501,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-07-10 14:14:33.287
32.6298929,-117.0955721,5:28pm,1dd2d6ffbad3fb0cb9e2d856f53783e9,2021-07-15,5:28pm,H ST TROLLEY,L058802,PERSON DOWN,cvpd,person down,58802,2021-07-15 17:28:00,210715L00058802,2021-07-15 17:30:52.813,Person Down,2,ASSISTED,citizen,91910,700 BLOCK H ST,,"700 BLOCK H ST, Chula Vista, CA, 91910",32.629658,-117.093538,1,range_interpolation,700,H St,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012600,1002,1,060730126001002,06073012600,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-07-15 17:30:52.813
32.6323141,-117.085048,5:47pm,71994a082dbebb999d9ac0489309116a,2021-07-16,5:47pm,I-5/ H St.,CVL59089,Fire,cvpd,fire,59089,2021-07-16 17:47:00,210716L00059089,2021-07-16 17:49:07.670,Ensure Safety of Fire and Medical Personnel,2,HANDLED NO REPORT,officer,91910,H ST & BAY BL,,"H ST & BAY BL, Chula Vista, CA, 91910",32.632472,-117.097633,0.82,intersection,,Bay Blvd,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012600,1016,1,060730126001016,06073012600,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-07-16 17:49:07.670
32.6359909,-117.0291331,4:15pm,00aa114a74979c63a55e6ed2cff29862,2021-07-19,4:15pm,800 H St.,CVL59971,Subject Causing Disturbance,cvpd,subject causing disturbance,59971,2021-07-19 16:15:00,210719L00059971,2021-07-19 16:12:32.423,Disturbance - General,3,HANDLED NO REPORT,citizen,91910,BAY BL & H ST,,"BAY BL & H ST, Chula Vista, CA, 91910",32.632472,-117.097633,0.82,intersection,,Bay Blvd,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012600,1016,1,060730126001016,06073012600,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-07-19 16:12:32.423
32.6290162,-117.0966317,3:07pm,e9f050f0fa9d5878a9f8f95f8120bf0a,2021-07-19,3:07pm,Bay Blvd./ H St.,CVL59950,Suspicious Person,cvpd,suspicious person,59950,2021-07-19 15:07:00,210719L00059950,2021-07-19 14:55:42.683,Suspicious Person,3,HANDLED NO REPORT,citizen,91910,H ST & BAY BL,,"H ST & BAY BL, Chula Vista, CA, 91910",32.632472,-117.097633,0.82,intersection,,Bay Blvd,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012600,1016,1,060730126001016,06073012600,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-07-19 14:55:42.683
32.6328936,-117.0960397,2:41pm,98d5cd75530ff5245780a917200d1545,2021-07-20,2:41pm,400 Colorado Ave.,CVL60248,Indecent Exposure,cvpd,indecent exposure,60248,2021-07-20 14:41:00,210720L00060248,2021-07-20 14:17:24.633,Indecent Exposure,3,HANDLED NO REPORT,citizen,91910,400 BLOCK COLORADO AV,,"400 BLOCK COLORADO AV, Chula Vista, CA, 91910",32.632441,-117.096136,0.89,nearest_rooftop_match,410,Colorado Ave,,,Chula Vista,CA,San Diego County,91910,US,San Diego Geographic Information Source - JPA,2022,06,06073,Chula Vista,0613392,012501,2002,2,060730125012002,06073012501,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-07-20 14:17:24.633
32.6332605,-117.0939602,4:39pm,358959ed97cdcfe8958ddfa58c1e7968,2021-07-26,4:39pm,400 Oaklawn Ave.,CVL62166,Welfare Check,cvpd,welfare check,62166,2021-07-26 16:39:00,210726L00062166,2021-07-26 16:56:28.380,Drunk in Public,2,HANDLED NO REPORT,citizen,91910,400 BLOCK OAKLAWN AV,,"400 BLOCK OAKLAWN AV, Chula Vista, CA, 91910",32.633406,-117.093836,1,range_interpolation,400,Oaklawn Ave,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012501,2001,2,060730125012001,06073012501,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-07-26 16:56:28.380
32.630147,-117.094228,10:25am,1cc1fbc7fd1619b976bfdb63b711485b,2021-07-27,10:25am,745 H St.,CVL62359,Suspicious Person,cvpd,suspicious person,62359,2021-07-27 10:25:00,210727L00062359,2021-07-27 10:23:26.797,Preserve The Peace,3,ASSISTED,citizen,91910,700 BLOCK H ST,,"700 BLOCK H ST, Chula Vista, CA, 91910",32.629658,-117.093538,1,range_interpolation,700,H St,,,Chula Vista,CA,San Diego County,91910,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,012600,1002,1,060730126001002,06073012600,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-07-27 10:23:26.797
32.6348066,-117.0958071,9:48am,651d1096e03c7ba2e80d687d00e72ea0,2021-07-28,9:48am,706 F ,L062565,DOMESTIC VIOLENCE,cvpd,domestic violence,62565,2021-07-28 09:48:00,210728L00062565,2021-07-28 01:22:42.760,Incident Follow Up,4,HANDLED NO REPORT,officer,91910,800 BLOCK PASEO RANCHERO,,"800 BLOCK PASEO RANCHERO, Chula Vista, CA, 91910",32.639894,-117.013555,0.88,nearest_rooftop_match,820,Paseo Ranchero,,,Chula Vista,CA,San Diego County,91910,US,San Diego Geographic Information Source - JPA,2022,06,06073,Chula Vista,0613392,013420,2006,2,060730134202006,06073013420,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-07-28 01:22:42.760
32.6366714,-117.0826389,11:19am,609992dbd206f48cbce11e8c6f692b54,2021-07-30,11:19am,Fourth Ave./ G St.,CVL63228,Traffic Hazard,cvpd,traffic hazard,63228,2021-07-30 11:19:00,210730L00063228,2021-07-30 01:36:49.917,False Alarm - Undefined,3,508 Left,citizen,91911,1300 BLOCK THIRD AV,,"1300 BLOCK THIRD AV, Chula Vista, CA, 91911",32.606636,-117.066401,1,range_interpolation,1300,3rd Ave,,,Chula Vista,CA,San Diego County,91911,US,TIGER/Line® dataset from the US Census Bureau,2022,06,06073,Chula Vista,0613392,013203,1002,1,060730132031002,06073013203,"San Diego-Chula Vista-Carlsbad, CA",41740,metropolitan,,,,,2021-07-30 01:36:49.917
