Incident No.,Description,cfs-date,Block Location,Latitude,Longitude,drone-id
210713L00058202,Vehicle Theft,2021-07-13 14:52:04.933,600 BLOCK PALOMAR ST,32.60321,-117.078644,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058197,Petty Theft <=$950,2021-07-13 14:44:45.853,2300 BLOCK PASEO LOS GATOS,32.671696,-116.971921,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058190,Disturbance - General,2021-07-13 14:23:30.617,1300 BLOCK PALOMAR ST,32.623378,-116.998882,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058203,Vehicle Burglary,2021-07-13 14:55:41.610,20 BLOCK WOODLAWN AV,32.645673,-117.099781,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058189,Incident Follow Up,2021-07-13 14:23:01.577,1600 BLOCK BROADWAY,32.596398,-117.076633,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058205,Check a Person's Well Being,2021-07-13 15:04:36.773,300 BLOCK H ST,32.634521,-117.07721,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058208,[Protected Call Type],2021-07-13 15:11:56.433,800 BLOCK REGULO PL,32.641815,-117.00975,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058192,Disturbance - General,2021-07-13 14:32:12.283,1100 BLOCK FIFTH AV,32.611256,-117.077251,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058196,Fraud/Forgery,2021-07-13 14:43:19.003,200 BLOCK G ST,32.639123,-117.074463,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058206,Vehicle Theft,2021-07-13 15:03:09.090,1700 BLOCK BROADWAY,32.59463,-117.07519,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058198,Incident Follow Up,2021-07-13 14:49:50.140,100 BLOCK MACE ST,32.594574,-117.053718,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058193,Traffic Stop,2021-07-13 14:34:20.177,THIRD AV & F ST,32.641267,-117.079932,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058191,Traffic Collision,2021-07-13 14:26:06.007,1600 BLOCK THIRD AV,32.597737,-117.06453,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058194,PR Contact,2021-07-13 14:36:12.533,TELEGRAPH CANYON RD & I-805 FREEWAY RAMP,32.629001,-117.044296,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058195,Fraud/Forgery,2021-07-13 14:39:40.143,1300 BLOCK SANTA CRUZ CT,32.634002,-117.002714,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058199,Found,2021-07-13 14:44:11.950,K ST & ELDER AV,32.650535,-117.088005,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058204,Grand Theft > $950,2021-07-13 14:55:44.697,1400 BLOCK FOURTH AV,32.602187,-117.069214,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058207,Check a Person's Well Being,2021-07-13 15:12:53.603,300 BLOCK TROUSDALE DR,32.654582,-117.085753,f4861ddf2a3e4e2b698aeaf5c130747e
210713L00058202,Vehicle Theft,2021-07-13 14:52:04.933,600 BLOCK PALOMAR ST,32.60321,-117.078644,6adea635f1acd5361518185aecd5dda3
210713L00058197,Petty Theft <=$950,2021-07-13 14:44:45.853,2300 BLOCK PASEO LOS GATOS,32.671696,-116.971921,6adea635f1acd5361518185aecd5dda3
210713L00058188,Preserve The Peace,2021-07-13 14:13:00.983,1100 BLOCK TOBIAS DR,32.616371,-117.058925,6adea635f1acd5361518185aecd5dda3
210713L00058190,Disturbance - General,2021-07-13 14:23:30.617,1300 BLOCK PALOMAR ST,32.623378,-116.998882,6adea635f1acd5361518185aecd5dda3
210713L00058203,Vehicle Burglary,2021-07-13 14:55:41.610,20 BLOCK WOODLAWN AV,32.645673,-117.099781,6adea635f1acd5361518185aecd5dda3
210713L00058189,Incident Follow Up,2021-07-13 14:23:01.577,1600 BLOCK BROADWAY,32.596398,-117.076633,6adea635f1acd5361518185aecd5dda3
210713L00058205,Check a Person's Well Being,2021-07-13 15:04:36.773,300 BLOCK H ST,32.634521,-117.07721,6adea635f1acd5361518185aecd5dda3
210713L00058192,Disturbance - General,2021-07-13 14:32:12.283,1100 BLOCK FIFTH AV,32.611256,-117.077251,6adea635f1acd5361518185aecd5dda3
210713L00058196,Fraud/Forgery,2021-07-13 14:43:19.003,200 BLOCK G ST,32.639123,-117.074463,6adea635f1acd5361518185aecd5dda3
210713L00058206,Vehicle Theft,2021-07-13 15:03:09.090,1700 BLOCK BROADWAY,32.59463,-117.07519,6adea635f1acd5361518185aecd5dda3
210713L00058198,Incident Follow Up,2021-07-13 14:49:50.140,100 BLOCK MACE ST,32.594574,-117.053718,6adea635f1acd5361518185aecd5dda3
210713L00058187,[Protected Call Type],2021-07-13 14:13:36.810,300 BLOCK QUINCE PL,32.608657,-117.039393,6adea635f1acd5361518185aecd5dda3
210713L00058193,Traffic Stop,2021-07-13 14:34:20.177,THIRD AV & F ST,32.641267,-117.079932,6adea635f1acd5361518185aecd5dda3
210713L00058191,Traffic Collision,2021-07-13 14:26:06.007,1600 BLOCK THIRD AV,32.597737,-117.06453,6adea635f1acd5361518185aecd5dda3
210713L00058194,PR Contact,2021-07-13 14:36:12.533,TELEGRAPH CANYON RD & I-805 FREEWAY RAMP,32.629001,-117.044296,6adea635f1acd5361518185aecd5dda3
210713L00058195,Fraud/Forgery,2021-07-13 14:39:40.143,1300 BLOCK SANTA CRUZ CT,32.634002,-117.002714,6adea635f1acd5361518185aecd5dda3
210713L00058199,Found,2021-07-13 14:44:11.950,K ST & ELDER AV,32.650535,-117.088005,6adea635f1acd5361518185aecd5dda3
210713L00058204,Grand Theft > $950,2021-07-13 14:55:44.697,1400 BLOCK FOURTH AV,32.602187,-117.069214,6adea635f1acd5361518185aecd5dda3
210822L00070416,Found,2021-08-22 22:10:16.237,2200 BLOCK OTAY LAKES RD,32.648029,-116.966389,0bcf186c92b446ad9d88e10377af85bd
210822L00070419,Disturbance - General,2021-08-22 22:22:50.300,30 BLOCK MANKATO ST,32.634187,-117.068872,0bcf186c92b446ad9d88e10377af85bd
210822L00070422,Disturbance - Noise,2021-08-22 22:30:07.750,1 BLOCK TAMARINDO WY,32.598733,-117.051506,0bcf186c92b446ad9d88e10377af85bd
210822L00070413,Vehicle Theft Recovery,2021-08-22 22:03:09.990,ANITA ST & INDUSTRIAL BL,32.598514,-117.084095,0bcf186c92b446ad9d88e10377af85bd
210822L00070421,Disturbance - Traffic,2021-08-22 22:28:56.170,TIERRA DEL REY & E H ST,32.635829,-117.020646,0bcf186c92b446ad9d88e10377af85bd
