,id,GEOID20,seconds,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,HOUSING20,POP20,geometry,len
109338,fb53c22dcbf198327947b21fa50cabf3,060730123021012,13,6,73,12302,1012,Block 1012,G5040,U,78661.0,U,S,101383,0,32.6392976,-117.0811867,94,216,"POLYGON ((-117.083646 32.639302, -117.083247 32.639408, -117.082051 32.639727, -117.081653 32.639835, -117.081722 32.640006, -117.081932 32.640521, -117.08196 32.640589, -117.08196 32.640701, -117.081855 32.640729, -117.081543 32.640819, -117.081439 32.640851, -117.08134 32.640877, -117.081044 32.640956, -117.080946 32.640983, -117.080743 32.641041, -117.080454 32.641124, -117.080135 32.641211, -117.079932 32.641268, -117.07986 32.64108, -117.079644 32.640517, -117.079572 32.64033, -117.079509 32.640169, -117.07932 32.63969, -117.079279 32.639587, -117.079253 32.639533, -117.079237 32.6395, -117.079189 32.639401, -117.079174 32.63937, -117.079161 32.639342, -117.079122 32.639262, -117.07911 32.639236, -117.079066 32.639128, -117.078958 32.638861, -117.078937 32.638807, -117.078894 32.638702, -117.079299 32.638582, -117.079413 32.63855, -117.080519 32.638239, -117.080926 32.638125, -117.081334 32.63801, -117.082561 32.637667, -117.08297 32.637553, -117.08304 32.637729, -117.08325 32.638258, -117.083321 32.638435, -117.083353 32.638515, -117.083387 32.638607, -117.083581 32.639128, -117.083646 32.639302))",15
76772,aee28af8bf1475be0724b0b05a658f7b,060730123021012,14,6,73,12302,1012,Block 1012,G5040,U,78661.0,U,S,101383,0,32.6392976,-117.0811867,94,216,"POLYGON ((-117.083646 32.639302, -117.083247 32.639408, -117.082051 32.639727, -117.081653 32.639835, -117.081722 32.640006, -117.081932 32.640521, -117.08196 32.640589, -117.08196 32.640701, -117.081855 32.640729, -117.081543 32.640819, -117.081439 32.640851, -117.08134 32.640877, -117.081044 32.640956, -117.080946 32.640983, -117.080743 32.641041, -117.080454 32.641124, -117.080135 32.641211, -117.079932 32.641268, -117.07986 32.64108, -117.079644 32.640517, -117.079572 32.64033, -117.079509 32.640169, -117.07932 32.63969, -117.079279 32.639587, -117.079253 32.639533, -117.079237 32.6395, -117.079189 32.639401, -117.079174 32.63937, -117.079161 32.639342, -117.079122 32.639262, -117.07911 32.639236, -117.079066 32.639128, -117.078958 32.638861, -117.078937 32.638807, -117.078894 32.638702, -117.079299 32.638582, -117.079413 32.63855, -117.080519 32.638239, -117.080926 32.638125, -117.081334 32.63801, -117.082561 32.637667, -117.08297 32.637553, -117.08304 32.637729, -117.08325 32.638258, -117.083321 32.638435, -117.083353 32.638515, -117.083387 32.638607, -117.083581 32.639128, -117.083646 32.639302))",15
86825,c7647ea5182614cbf7d5d6d9ef1bca32,060730123021012,14,6,73,12302,1012,Block 1012,G5040,U,78661.0,U,S,101383,0,32.6392976,-117.0811867,94,216,"POLYGON ((-117.083646 32.639302, -117.083247 32.639408, -117.082051 32.639727, -117.081653 32.639835, -117.081722 32.640006, -117.081932 32.640521, -117.08196 32.640589, -117.08196 32.640701, -117.081855 32.640729, -117.081543 32.640819, -117.081439 32.640851, -117.08134 32.640877, -117.081044 32.640956, -117.080946 32.640983, -117.080743 32.641041, -117.080454 32.641124, -117.080135 32.641211, -117.079932 32.641268, -117.07986 32.64108, -117.079644 32.640517, -117.079572 32.64033, -117.079509 32.640169, -117.07932 32.63969, -117.079279 32.639587, -117.079253 32.639533, -117.079237 32.6395, -117.079189 32.639401, -117.079174 32.63937, -117.079161 32.639342, -117.079122 32.639262, -117.07911 32.639236, -117.079066 32.639128, -117.078958 32.638861, -117.078937 32.638807, -117.078894 32.638702, -117.079299 32.638582, -117.079413 32.63855, -117.080519 32.638239, -117.080926 32.638125, -117.081334 32.63801, -117.082561 32.637667, -117.08297 32.637553, -117.08304 32.637729, -117.08325 32.638258, -117.083321 32.638435, -117.083353 32.638515, -117.083387 32.638607, -117.083581 32.639128, -117.083646 32.639302))",15
91894,d321800347201ef0698770524ffa02f6,060730123021012,15,6,73,12302,1012,Block 1012,G5040,U,78661.0,U,S,101383,0,32.6392976,-117.0811867,94,216,"POLYGON ((-117.083646 32.639302, -117.083247 32.639408, -117.082051 32.639727, -117.081653 32.639835, -117.081722 32.640006, -117.081932 32.640521, -117.08196 32.640589, -117.08196 32.640701, -117.081855 32.640729, -117.081543 32.640819, -117.081439 32.640851, -117.08134 32.640877, -117.081044 32.640956, -117.080946 32.640983, -117.080743 32.641041, -117.080454 32.641124, -117.080135 32.641211, -117.079932 32.641268, -117.07986 32.64108, -117.079644 32.640517, -117.079572 32.64033, -117.079509 32.640169, -117.07932 32.63969, -117.079279 32.639587, -117.079253 32.639533, -117.079237 32.6395, -117.079189 32.639401, -117.079174 32.63937, -117.079161 32.639342, -117.079122 32.639262, -117.07911 32.639236, -117.079066 32.639128, -117.078958 32.638861, -117.078937 32.638807, -117.078894 32.638702, -117.079299 32.638582, -117.079413 32.63855, -117.080519 32.638239, -117.080926 32.638125, -117.081334 32.63801, -117.082561 32.637667, -117.08297 32.637553, -117.08304 32.637729, -117.08325 32.638258, -117.083321 32.638435, -117.083353 32.638515, -117.083387 32.638607, -117.083581 32.639128, -117.083646 32.639302))",15
23230,354599448e71bccb66dd21017d01248a,060730123021012,15,6,73,12302,1012,Block 1012,G5040,U,78661.0,U,S,101383,0,32.6392976,-117.0811867,94,216,"POLYGON ((-117.083646 32.639302, -117.083247 32.639408, -117.082051 32.639727, -117.081653 32.639835, -117.081722 32.640006, -117.081932 32.640521, -117.08196 32.640589, -117.08196 32.640701, -117.081855 32.640729, -117.081543 32.640819, -117.081439 32.640851, -117.08134 32.640877, -117.081044 32.640956, -117.080946 32.640983, -117.080743 32.641041, -117.080454 32.641124, -117.080135 32.641211, -117.079932 32.641268, -117.07986 32.64108, -117.079644 32.640517, -117.079572 32.64033, -117.079509 32.640169, -117.07932 32.63969, -117.079279 32.639587, -117.079253 32.639533, -117.079237 32.6395, -117.079189 32.639401, -117.079174 32.63937, -117.079161 32.639342, -117.079122 32.639262, -117.07911 32.639236, -117.079066 32.639128, -117.078958 32.638861, -117.078937 32.638807, -117.078894 32.638702, -117.079299 32.638582, -117.079413 32.63855, -117.080519 32.638239, -117.080926 32.638125, -117.081334 32.63801, -117.082561 32.637667, -117.08297 32.637553, -117.08304 32.637729, -117.08325 32.638258, -117.083321 32.638435, -117.083353 32.638515, -117.083387 32.638607, -117.083581 32.639128, -117.083646 32.639302))",15
73027,a637307ef099ae347bb0dd83b8d7dcc0,060730123021012,15,6,73,12302,1012,Block 1012,G5040,U,78661.0,U,S,101383,0,32.6392976,-117.0811867,94,216,"POLYGON ((-117.083646 32.639302, -117.083247 32.639408, -117.082051 32.639727, -117.081653 32.639835, -117.081722 32.640006, -117.081932 32.640521, -117.08196 32.640589, -117.08196 32.640701, -117.081855 32.640729, -117.081543 32.640819, -117.081439 32.640851, -117.08134 32.640877, -117.081044 32.640956, -117.080946 32.640983, -117.080743 32.641041, -117.080454 32.641124, -117.080135 32.641211, -117.079932 32.641268, -117.07986 32.64108, -117.079644 32.640517, -117.079572 32.64033, -117.079509 32.640169, -117.07932 32.63969, -117.079279 32.639587, -117.079253 32.639533, -117.079237 32.6395, -117.079189 32.639401, -117.079174 32.63937, -117.079161 32.639342, -117.079122 32.639262, -117.07911 32.639236, -117.079066 32.639128, -117.078958 32.638861, -117.078937 32.638807, -117.078894 32.638702, -117.079299 32.638582, -117.079413 32.63855, -117.080519 32.638239, -117.080926 32.638125, -117.081334 32.63801, -117.082561 32.637667, -117.08297 32.637553, -117.08304 32.637729, -117.08325 32.638258, -117.083321 32.638435, -117.083353 32.638515, -117.083387 32.638607, -117.083581 32.639128, -117.083646 32.639302))",15
24764,38d0a1f2326ade858bfe854b994ff51c,060730123021012,17,6,73,12302,1012,Block 1012,G5040,U,78661.0,U,S,101383,0,32.6392976,-117.0811867,94,216,"POLYGON ((-117.083646 32.639302, -117.083247 32.639408, -117.082051 32.639727, -117.081653 32.639835, -117.081722 32.640006, -117.081932 32.640521, -117.08196 32.640589, -117.08196 32.640701, -117.081855 32.640729, -117.081543 32.640819, -117.081439 32.640851, -117.08134 32.640877, -117.081044 32.640956, -117.080946 32.640983, -117.080743 32.641041, -117.080454 32.641124, -117.080135 32.641211, -117.079932 32.641268, -117.07986 32.64108, -117.079644 32.640517, -117.079572 32.64033, -117.079509 32.640169, -117.07932 32.63969, -117.079279 32.639587, -117.079253 32.639533, -117.079237 32.6395, -117.079189 32.639401, -117.079174 32.63937, -117.079161 32.639342, -117.079122 32.639262, -117.07911 32.639236, -117.079066 32.639128, -117.078958 32.638861, -117.078937 32.638807, -117.078894 32.638702, -117.079299 32.638582, -117.079413 32.63855, -117.080519 32.638239, -117.080926 32.638125, -117.081334 32.63801, -117.082561 32.637667, -117.08297 32.637553, -117.08304 32.637729, -117.08325 32.638258, -117.083321 32.638435, -117.083353 32.638515, -117.083387 32.638607, -117.083581 32.639128, -117.083646 32.639302))",15
2850,06547f1d55664c1324b092a32c0148a0,060730123021012,18,6,73,12302,1012,Block 1012,G5040,U,78661.0,U,S,101383,0,32.6392976,-117.0811867,94,216,"POLYGON ((-117.083646 32.639302, -117.083247 32.639408, -117.082051 32.639727, -117.081653 32.639835, -117.081722 32.640006, -117.081932 32.640521, -117.08196 32.640589, -117.08196 32.640701, -117.081855 32.640729, -117.081543 32.640819, -117.081439 32.640851, -117.08134 32.640877, -117.081044 32.640956, -117.080946 32.640983, -117.080743 32.641041, -117.080454 32.641124, -117.080135 32.641211, -117.079932 32.641268, -117.07986 32.64108, -117.079644 32.640517, -117.079572 32.64033, -117.079509 32.640169, -117.07932 32.63969, -117.079279 32.639587, -117.079253 32.639533, -117.079237 32.6395, -117.079189 32.639401, -117.079174 32.63937, -117.079161 32.639342, -117.079122 32.639262, -117.07911 32.639236, -117.079066 32.639128, -117.078958 32.638861, -117.078937 32.638807, -117.078894 32.638702, -117.079299 32.638582, -117.079413 32.63855, -117.080519 32.638239, -117.080926 32.638125, -117.081334 32.63801, -117.082561 32.637667, -117.08297 32.637553, -117.08304 32.637729, -117.08325 32.638258, -117.083321 32.638435, -117.083353 32.638515, -117.083387 32.638607, -117.083581 32.639128, -117.083646 32.639302))",15
37942,569e53878ac9df2f1268cca046dae76f,060730123021012,18,6,73,12302,1012,Block 1012,G5040,U,78661.0,U,S,101383,0,32.6392976,-117.0811867,94,216,"POLYGON ((-117.083646 32.639302, -117.083247 32.639408, -117.082051 32.639727, -117.081653 32.639835, -117.081722 32.640006, -117.081932 32.640521, -117.08196 32.640589, -117.08196 32.640701, -117.081855 32.640729, -117.081543 32.640819, -117.081439 32.640851, -117.08134 32.640877, -117.081044 32.640956, -117.080946 32.640983, -117.080743 32.641041, -117.080454 32.641124, -117.080135 32.641211, -117.079932 32.641268, -117.07986 32.64108, -117.079644 32.640517, -117.079572 32.64033, -117.079509 32.640169, -117.07932 32.63969, -117.079279 32.639587, -117.079253 32.639533, -117.079237 32.6395, -117.079189 32.639401, -117.079174 32.63937, -117.079161 32.639342, -117.079122 32.639262, -117.07911 32.639236, -117.079066 32.639128, -117.078958 32.638861, -117.078937 32.638807, -117.078894 32.638702, -117.079299 32.638582, -117.079413 32.63855, -117.080519 32.638239, -117.080926 32.638125, -117.081334 32.63801, -117.082561 32.637667, -117.08297 32.637553, -117.08304 32.637729, -117.08325 32.638258, -117.083321 32.638435, -117.083353 32.638515, -117.083387 32.638607, -117.083581 32.639128, -117.083646 32.639302))",15
31202,4770a444f16575c64fb798ef0e152e8f,060730123021012,18,6,73,12302,1012,Block 1012,G5040,U,78661.0,U,S,101383,0,32.6392976,-117.0811867,94,216,"POLYGON ((-117.083646 32.639302, -117.083247 32.639408, -117.082051 32.639727, -117.081653 32.639835, -117.081722 32.640006, -117.081932 32.640521, -117.08196 32.640589, -117.08196 32.640701, -117.081855 32.640729, -117.081543 32.640819, -117.081439 32.640851, -117.08134 32.640877, -117.081044 32.640956, -117.080946 32.640983, -117.080743 32.641041, -117.080454 32.641124, -117.080135 32.641211, -117.079932 32.641268, -117.07986 32.64108, -117.079644 32.640517, -117.079572 32.64033, -117.079509 32.640169, -117.07932 32.63969, -117.079279 32.639587, -117.079253 32.639533, -117.079237 32.6395, -117.079189 32.639401, -117.079174 32.63937, -117.079161 32.639342, -117.079122 32.639262, -117.07911 32.639236, -117.079066 32.639128, -117.078958 32.638861, -117.078937 32.638807, -117.078894 32.638702, -117.079299 32.638582, -117.079413 32.63855, -117.080519 32.638239, -117.080926 32.638125, -117.081334 32.63801, -117.082561 32.637667, -117.08297 32.637553, -117.08304 32.637729, -117.08325 32.638258, -117.083321 32.638435, -117.083353 32.638515, -117.083387 32.638607, -117.083581 32.639128, -117.083646 32.639302))",15
