,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,HOUSING20,POP20,geometry,len,west_cv,seconds,weight,call_count
3,6,73,12600,1002,060730126001002,Block 1002,G5040,U,78661.0,U,S,104107,0,32.6279724,-117.0932719,310,656,"POLYGON ((-117.095251 32.629345, -117.095177 32.629364, -117.094958 32.629424, -117.094885 32.629446, -117.094711 32.629492, -117.09419 32.629635, -117.094017 32.629683, -117.093996 32.629689, -117.093933 32.629711, -117.093913 32.62972, -117.09383 32.62974, -117.093581 32.629803, -117.093499 32.629824, -117.093327 32.629872, -117.092814 32.630017, -117.092643 32.630066, -117.092373 32.629374, -117.091564 32.627298, -117.091295 32.626607, -117.091363 32.626587, -117.091569 32.626527, -117.091638 32.626508, -117.091669 32.626499, -117.091762 32.626474, -117.091794 32.626466, -117.091838 32.626452, -117.091969 32.626416, -117.092014 32.626404, -117.092122 32.626373, -117.092449 32.626278, -117.092558 32.626249, -117.092714 32.626207, -117.093185 32.626081, -117.093342 32.626041, -117.093454 32.626008, -117.09379 32.625912, -117.093903 32.62588, -117.094136 32.626479, -117.094835 32.628278, -117.095069 32.628878, -117.095105 32.628971, -117.095214 32.62925, -117.095251 32.629345))",15,True,24035.0,0.23086824132863304,1170.0
1928,6,73,12800,3001,060730128003001,Block 3001,G5040,U,78661.0,U,S,61364,0,32.635602,-117.0754272,137,327,"POLYGON ((-117.077713 32.635689, -117.077199 32.635831, -117.07566 32.636259, -117.075147 32.636402, -117.074843 32.636485, -117.073934 32.636738, -117.073631 32.636822, -117.073527 32.636564, -117.073434 32.636334, -117.073231 32.63579, -117.073135 32.635533, -117.07395 32.6353, -117.076394 32.634603, -117.07721 32.634371, -117.07731 32.634634, -117.077612 32.635424, -117.077713 32.635689))",15,True,10607.0,0.17285379049605631,1218.0
1273,6,73,13409,2001,060730134092001,Block 2001,G5040,U,78661.0,U,S,33240,0,32.6374964,-117.0510441,0,1,"POLYGON ((-117.055496 32.640492, -117.055425 32.64051, -117.055283 32.64055, -117.054725 32.640065, -117.054197 32.639633, -117.053796 32.639371, -117.053422 32.639146, -117.052937 32.638856, -117.051954 32.638307, -117.051465 32.638019, -117.05039 32.637393, -117.049603 32.63688, -117.048685 32.63624, -117.048308 32.63594, -117.048003 32.63568, -117.047564 32.63528, -117.046722 32.634414, -117.046777 32.634417, -117.047081 32.634436, -117.047183 32.634442, -117.047752 32.635007, -117.048833 32.635927, -117.049336 32.636314, -117.049813 32.636648, -117.050395 32.637043, -117.05132 32.637637, -117.053042 32.638587, -117.053991 32.639136, -117.05457 32.63952, -117.05494 32.639825, -117.055611 32.640458, -117.055496 32.640492))",15,False,1417.0,0.04262936221419976,1232.0
427,6,73,13424,2000,060730134242000,Block 2000,G5040,U,78661.0,U,S,413046,0,32.6561263,-116.9673781,243,711,"POLYGON ((-116.976295 32.659922, -116.976035 32.660129, -116.975949 32.660189, -116.975774 32.660315, -116.975489 32.660497, -116.975219 32.660651, -116.974885 32.66082, -116.974583 32.660954, -116.974273 32.661074, -116.973971 32.661176, -116.973663 32.661264, -116.972573 32.66153, -116.971387 32.661822, -116.971381 32.661485, -116.971366 32.660477, -116.971363 32.660262, -116.971358 32.659937, -116.971349 32.659323, -116.971346 32.65912, -116.971338 32.65899, -116.971315 32.658602, -116.971308 32.658473, -116.971301 32.658361, -116.971294 32.658236, -116.971288 32.658155, -116.971331 32.658036, -116.971369 32.657932, -116.97148 32.657944, -116.971502 32.657948, -116.971817 32.65795, -116.971841 32.657952, -116.97193 32.657955, -116.971924 32.658006, -116.971939 32.658155, -116.971945 32.658206, -116.971955 32.658305, -116.971975 32.658338, -116.972009 32.658363, -116.972052 32.658374, -116.972096 32.658371, -116.972125 32.658359, -116.972646 32.658202, -116.972665 32.658194, -116.972797 32.658144, -116.972866 32.658112, -116.972963 32.658067, -116.973124 32.657998, -116.97322 32.65796, -116.973256 32.657927, -116.973272 32.657887, -116.97327 32.657847, -116.973257 32.657819, -116.973059 32.657516, -116.97295 32.657328, -116.972879 32.657204, -116.972814 32.657082, -116.972712 32.656879, -116.972698 32.656847, -116.972656 32.656756, -116.972613 32.656708, -116.972561 32.656674, -116.972499 32.656652, -116.972437 32.656644, -116.97201 32.656641, -116.97175 32.656641, -116.971635 32.656641, -116.971341 32.656641, -116.971295 32.656657, -116.971259 32.656687, -116.971239 32.656723, -116.971235 32.656749, -116.970052 32.65686, -116.969095 32.656951, -116.966506 32.657207, -116.965325 32.657325, -116.965308 32.657297, -116.96524 32.657205, -116.965213 32.657176, -116.965171 32.657131, -116.96513 32.657086, -116.965019 32.656991, -116.964898 32.656907, -116.964776 32.65684, -116.964749 32.656826, -116.964688 32.656798, -116.964606 32.656768, -116.9645 32.656732, -116.964426 32.656713, -116.964341 32.656697, -116.964302 32.656689, -116.964207 32.656677, -116.964176 32.656674, -116.964105 32.656671, -116.964048 32.656668, -116.963996 32.656667, -116.96367 32.656664, -116.963562 32.656664, -116.963375 32.656663, -116.963348 32.656663, -116.962815 32.656677, -116.96276 32.656679, -116.962629 32.656676, -116.962492 32.656661, -116.962481 32.656661, -116.962084 32.656595, -116.961949 32.656573, -116.961978 32.65643, -116.961988 32.656343, -116.962028 32.656025, -116.96204 32.655833, -116.962043 32.655751, -116.962046 32.655647, -116.962053 32.655415, -116.962218 32.655418, -116.963198 32.655434, -116.96405 32.655449, -116.964603 32.655449, -116.96509 32.655434, -116.965576 32.655403, -116.966628 32.655304, -116.967769 32.655197, -116.96771 32.654877, -116.967704 32.654844, -116.967694 32.654664, -116.967703 32.654439, -116.967733 32.654232, -116.967778 32.654039, -116.967817 32.653919, -116.967838 32.653856, -116.967906 32.653696, -116.967948 32.653624, -116.968046 32.65344, -116.968342 32.652892, -116.968441 32.652709, -116.968684 32.652799, -116.968913 32.65287, -116.968947 32.652878, -116.969147 32.652928, -116.969416 32.652979, -116.969657 32.65301, -116.969932 32.65303, -116.970176 32.653033, -116.970403 32.653025, -116.970537 32.653013, -116.970656 32.653003, -116.970917 32.652965, -116.971066 32.652934, -116.97117 32.652913, -116.971471 32.65284, -116.972307 32.655261, -116.972363 32.655412, -116.972822 32.656357, -116.973025 32.656725, -116.973429 32.657317, -116.974482 32.658288, -116.976051 32.659542, -116.976427 32.659805, -116.976295 32.659922), (-116.972458 32.660526, -116.972389 32.660278, -116.97187 32.660439, -116.972076 32.660885, -116.972549 32.660736, -116.972458 32.660526))",15,False,2839.0,0.006873326457585838,1243.0
1668,6,73,13319,2026,060730133192026,Block 2026,G5040,U,78661.0,U,S,32566,0,32.6203119,-116.9663194,43,100,"POLYGON ((-116.967462 32.61986, -116.967346 32.620314, -116.967319 32.62106, -116.965218 32.621034, -116.965227 32.619576, -116.965337 32.619646, -116.966262 32.61963, -116.966359 32.619559, -116.966735 32.619554, -116.967228 32.619567, -116.967548 32.619661, -116.967462 32.61986))",15,False,6249.0,0.19188724436528895,1274.0
1010,6,73,12502,1000,060730125021000,Block 1000,G5040,U,78661.0,U,S,199735,0,32.6418278,-117.0996435,577,1500,"POLYGON ((-117.101008 32.646904, -117.100514 32.647046, -117.099431 32.647347, -117.098197 32.647692, -117.096342 32.64822, -117.096186 32.648254, -117.096178 32.648234, -117.096155 32.648173, -117.096148 32.648154, -117.096088 32.647999, -117.095909 32.647534, -117.09585 32.647379, -117.096039 32.647326, -117.096606 32.647173, -117.096796 32.647123, -117.096882 32.647098, -117.097143 32.647025, -117.09723 32.647001, -117.09749 32.646926, -117.098271 32.646703, -117.098532 32.64663, -117.098811 32.646552, -117.099614 32.646331, -117.099647 32.646312, -117.099669 32.646301, -117.099714 32.646262, -117.099746 32.646214, -117.099765 32.646162, -117.099768 32.646107, -117.099761 32.646069, -117.099679 32.645851, -117.099436 32.645197, -117.099355 32.64498, -117.099256 32.644716, -117.098959 32.643926, -117.098861 32.643664, -117.098838 32.643603, -117.09877 32.643423, -117.098748 32.643363, -117.098734 32.643327, -117.098695 32.643223, -117.098682 32.643188, -117.098667 32.643149, -117.098622 32.643031, -117.098608 32.642993, -117.098577 32.642913, -117.098484 32.642674, -117.098454 32.642595, -117.098404 32.64246, -117.098316 32.642227, -117.098254 32.64206, -117.098248 32.642044, -117.098238 32.642004, -117.098209 32.641972, -117.098172 32.641954, -117.098135 32.641939, -117.098087 32.641939, -117.097975 32.64197, -117.097388 32.642138, -117.097193 32.642194, -117.096997 32.642246, -117.096413 32.642408, -117.096218 32.642462, -117.096148 32.64228, -117.095938 32.641737, -117.095868 32.641558, -117.095854 32.641523, -117.095815 32.641422, -117.095802 32.641388, -117.095751 32.641258, -117.095599 32.640867, -117.095549 32.640738, -117.095834 32.640656, -117.096605 32.640439, -117.096692 32.640414, -117.096979 32.640336, -117.09709 32.640304, -117.097426 32.640213, -117.097538 32.640183, -117.097786 32.640115, -117.098118 32.640025, -117.09853 32.639901, -117.098778 32.639828, -117.098881 32.639797, -117.09895 32.639777, -117.099193 32.639713, -117.099247 32.639699, -117.099298 32.639686, -117.099577 32.640403, -117.100206 32.642017, -117.100326 32.642347, -117.100388 32.642563, -117.100429 32.642705, -117.100503 32.643171, -117.100523 32.64332, -117.10061 32.64397, -117.10067 32.644412, -117.100846 32.645926, -117.100864 32.646079, -117.100951 32.646574, -117.100973 32.646703, -117.101008 32.646904))",15,True,45516.0,0.2278819435752372,1309.0
1084,6,73,13102,3003,060730131023003,Block 3003,G5040,U,78661.0,U,S,162641,0,32.611389,-117.0704646,523,1347,"POLYGON ((-117.073177 32.612547, -117.072716 32.612675, -117.071337 32.613062, -117.070877 32.613192, -117.070524 32.61329, -117.069467 32.613585, -117.069115 32.613685, -117.069041 32.613506, -117.068822 32.612969, -117.068769 32.612838, -117.068756 32.612788, -117.06869 32.612626, -117.068492 32.612141, -117.068427 32.61198, -117.068412 32.611942, -117.068369 32.611828, -117.068355 32.611791, -117.068251 32.611516, -117.068237 32.61148, -117.067875 32.610551, -117.067755 32.610242, -117.067904 32.610197, -117.068353 32.610062, -117.068503 32.610019, -117.068592 32.609994, -117.06886 32.609918, -117.06895 32.609895, -117.069051 32.609865, -117.069355 32.60978, -117.069457 32.609754, -117.06953 32.609733, -117.069748 32.609673, -117.069822 32.609653, -117.069908 32.609628, -117.070027 32.609596, -117.070169 32.609555, -117.070256 32.609532, -117.070377 32.609498, -117.070742 32.609395, -117.070864 32.609363, -117.071055 32.609309, -117.071628 32.609149, -117.07182 32.609096, -117.071924 32.609355, -117.072239 32.610132, -117.072345 32.610392, -117.072369 32.610456, -117.072443 32.610655, -117.072468 32.610721, -117.072508 32.610826, -117.07263 32.611142, -117.072671 32.611248, -117.072772 32.611507, -117.073075 32.612287, -117.073177 32.612547))",15,True,63305.0,0.3892314975928579,1440.0
373,6,73,13103,2002,060730131032002,Block 2002,G5040,U,78661.0,U,S,40234,0,32.6125536,-117.083386,71,271,"POLYGON ((-117.08474 32.613129, -117.084334 32.613241, -117.083247 32.613543, -117.083119 32.613584, -117.082719 32.613714, -117.082629 32.613484, -117.082359 32.612797, -117.08227 32.612569, -117.082222 32.612451, -117.082081 32.612101, -117.082062 32.612045, -117.082047 32.61201, -117.082031 32.611973, -117.08224 32.611925, -117.082571 32.611835, -117.082858 32.611745, -117.083063 32.611684, -117.083265 32.611629, -117.083871 32.611469, -117.08407 32.611409, -117.084075 32.611423, -117.084204 32.611765, -117.084411 32.612312, -117.084603 32.612789, -117.08474 32.613129))",15,True,8373.0,0.20810757071133867,1536.0
1082,6,73,13103,1000,060730131031000,Block 1000,G5040,U,78661.0,U,S,309509,0,32.6087779,-117.0888996,313,1177,"POLYGON ((-117.091113 32.61519, -117.091053 32.615205, -117.091009 32.615218, -117.090975 32.615228, -117.090936 32.615238, -117.090775 32.615279, -117.090296 32.615403, -117.090136 32.615445, -117.090086 32.615459, -117.089936 32.615505, -117.089887 32.61552, -117.089621 32.614828, -117.08887 32.612869, -117.088825 32.612752, -117.08856 32.612061, -117.088607 32.612048, -117.088747 32.612011, -117.088795 32.611999, -117.088708 32.611776, -117.088448 32.611108, -117.088362 32.610886, -117.088218 32.610522, -117.087788 32.60943, -117.087645 32.609067, -117.087604 32.608964, -117.087549 32.608824, -117.087494 32.608683, -117.087483 32.608656, -117.087444 32.608554, -117.08731 32.608216, -117.08691 32.607202, -117.086777 32.606864, -117.086636 32.606507, -117.086519 32.60621, -117.086477 32.606103, -117.086304 32.605661, -117.086218 32.605441, -117.086079 32.605086, -117.085987 32.60485, -117.085833 32.604456, -117.085705 32.604146, -117.08561 32.603913, -117.085836 32.60394, -117.086169 32.60398, -117.086517 32.604016, -117.086745 32.60404, -117.087003 32.604066, -117.08778 32.604143, -117.088039 32.604171, -117.088145 32.60418, -117.088465 32.604211, -117.088572 32.604223, -117.088794 32.604244, -117.088887 32.604253, -117.089027 32.604269, -117.089084 32.604274, -117.08946 32.604312, -117.089683 32.604336, -117.089737 32.60434, -117.08982 32.60435, -117.089848 32.604352, -117.090023 32.605914, -117.090029 32.605946, -117.090109 32.606536, -117.090327 32.608346, -117.090339 32.608452, -117.090346 32.608504, -117.090364 32.60866, -117.090371 32.608713, -117.090378 32.608816, -117.0904 32.609125, -117.090408 32.609229, -117.090925 32.613479, -117.091087 32.61495, -117.091113 32.61519))",15,True,42919.0,0.1386680193467718,1589.0
1112,6,73,12502,2000,060730125022000,Block 2000,G5040,U,78661.0,U,S,160737,0,32.6390209,-117.0948457,609,1563,"POLYGON ((-117.097538 32.640183, -117.097426 32.640213, -117.09709 32.640304, -117.096979 32.640336, -117.096692 32.640414, -117.096605 32.640439, -117.095834 32.640656, -117.095549 32.640738, -117.095139 32.640853, -117.09464 32.640993, -117.094395 32.641062, -117.094043 32.641161, -117.093913 32.641199, -117.093504 32.641316, -117.093365 32.64097, -117.093245 32.640669, -117.092957 32.639932, -117.092822 32.639586, -117.092492 32.638695, -117.092467 32.638633, -117.092393 32.638449, -117.092369 32.638388, -117.092328 32.638281, -117.092206 32.637963, -117.092166 32.637859, -117.09297 32.637632, -117.094994 32.637064, -117.095385 32.636951, -117.096189 32.636721, -117.09626 32.636906, -117.096473 32.637462, -117.096546 32.637647, -117.096612 32.637814, -117.096811 32.638318, -117.096862 32.638448, -117.096873 32.638489, -117.096973 32.638739, -117.097192 32.639311, -117.097264 32.639494, -117.097364 32.639745, -117.097398 32.639832, -117.097503 32.640095, -117.097538 32.640183))",15,True,83036.0,0.5165954322900141,1646.0
