,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,HOUSING20,POP20,geometry,len,west_cv,seconds,weight,call_count
14,6,73,12700,1001,060730127001001,Block 1001,G5040,U,78661.0,U,S,162608,0,32.6343962,-117.084,77,195,"POLYGON ((-117.086716 32.635552, -117.085901 32.635779, -117.08563 32.635857, -117.083457 32.636466, -117.082643 32.636695, -117.082573 32.636519, -117.082366 32.635993, -117.082297 32.635818, -117.082228 32.635648, -117.082023 32.63514, -117.081955 32.634971, -117.081826 32.634622, -117.081712 32.634316, -117.081422 32.633588, -117.081286 32.633244, -117.081617 32.63315, -117.082432 32.63292, -117.08261 32.632866, -117.082941 32.632768, -117.083062 32.632739, -117.083216 32.632703, -117.083422 32.632643, -117.083542 32.632609, -117.083683 32.632568, -117.083907 32.632508, -117.084149 32.632444, -117.084635 32.632298, -117.084999 32.632195, -117.085364 32.632092, -117.085398 32.632182, -117.085502 32.632453, -117.085537 32.632544, -117.08557 32.63263, -117.085672 32.632891, -117.085707 32.632978, -117.085874 32.633405, -117.085907 32.633493, -117.086057 32.633885, -117.086512 32.635036, -117.086716 32.635552))",15,True,47947.0,0.2948624913903375,1124.0
392,6,73,13102,1000,060730131021000,Block 1000,G5040,U,78661.0,U,S,777925,0,32.6196028,-117.0643839,103,344,"POLYGON ((-117.071797 32.62059, -117.071705 32.620613, -117.071534 32.620658, -117.071434 32.62069, -117.071348 32.620727, -117.071288 32.620759, -117.071151 32.620825, -117.07102 32.620911, -117.070903 32.621006, -117.07074 32.621169, -117.070708 32.621202, -117.070593 32.621299, -117.070467 32.621385, -117.070345 32.621453, -117.070202 32.621518, -117.070036 32.621574, -117.069896 32.621608, -117.068634 32.621958, -117.067904 32.622161, -117.067087 32.62239, -117.065148 32.622935, -117.065008 32.622979, -117.064821 32.623025, -117.064645 32.623053, -117.064634 32.623054, -117.064224 32.623128, -117.063799 32.623197, -117.063554 32.623216, -117.0635 32.623222, -117.06316 32.623236, -117.062844 32.623234, -117.062817 32.623233, -117.062633 32.623236, -117.062572 32.623241, -117.062503 32.623246, -117.062439 32.623252, -117.062298 32.623272, -117.062231 32.623284, -117.062142 32.6233, -117.062049 32.623318, -117.061878 32.623362, -117.061791 32.623385, -117.06174 32.623396, -117.061588 32.623437, -117.061538 32.623451, -117.06114 32.623565, -117.059949 32.623907, -117.059552 32.624022, -117.05945 32.623759, -117.059147 32.622973, -117.059046 32.622711, -117.058986 32.622555, -117.058806 32.622087, -117.058747 32.621933, -117.058916 32.621886, -117.059422 32.621747, -117.059592 32.621702, -117.059786 32.621637, -117.059932 32.62159, -117.060002 32.621555, -117.060076 32.621502, -117.060129 32.62145, -117.060179 32.621379, -117.060212 32.621302, -117.060221 32.621256, -117.060229 32.621221, -117.060227 32.621139, -117.060207 32.621055, -117.060135 32.620863, -117.059919 32.620289, -117.059847 32.620098, -117.059679 32.619664, -117.059178 32.618369, -117.059012 32.617937, -117.059005 32.617923, -117.058972 32.61789, -117.058929 32.617872, -117.058879 32.617869, -117.058861 32.617873, -117.058346 32.618011, -117.058175 32.618058, -117.058006 32.618102, -117.057501 32.61824, -117.057333 32.618286, -117.057323 32.618259, -117.057293 32.618178, -117.057283 32.618152, -117.057201 32.617941, -117.056958 32.617308, -117.056877 32.617097, -117.057089 32.617037, -117.057727 32.616858, -117.05794 32.616801, -117.058045 32.616771, -117.058362 32.61668, -117.05847 32.61665, -117.058925 32.616522, -117.059009 32.616498, -117.059077 32.616479, -117.059264 32.616428, -117.05935 32.616406, -117.05946 32.616374, -117.059792 32.616284, -117.059903 32.616255, -117.060074 32.616208, -117.060589 32.616067, -117.060761 32.616021, -117.060944 32.616011, -117.061496 32.615983, -117.06168 32.615975, -117.061938 32.615962, -117.062112 32.615954, -117.06242 32.615952, -117.062714 32.615964, -117.062744 32.615966, -117.062973 32.615985, -117.063344 32.616013, -117.063714 32.616056, -117.063892 32.616084, -117.064114 32.616119, -117.064493 32.616194, -117.064868 32.616285, -117.065237 32.61639, -117.065615 32.616515, -117.065971 32.61665, -117.06623 32.616748, -117.066518 32.616841, -117.066552 32.61685, -117.066828 32.616923, -117.067143 32.616989, -117.067457 32.617038, -117.067823 32.617102, -117.068051 32.617131, -117.068208 32.617154, -117.068595 32.61719, -117.068984 32.617211, -117.069358 32.617216, -117.069693 32.617206, -117.069853 32.617195, -117.070065 32.617181, -117.070436 32.617141, -117.070453 32.617139, -117.070721 32.617829, -117.071135 32.618889, -117.071528 32.619898, -117.071717 32.620384, -117.071797 32.62059), (-117.058782 32.61678, -117.058677 32.616816, -117.058556 32.616911, -117.058249 32.617162, -117.05834 32.617435, -117.058963 32.617261, -117.058782 32.61678))",15,True,49419.0,0.06352668959089887,318.0
1077,6,73,13206,2000,060730132062000,Block 2000,G5040,U,78661.0,U,S,163026,0,32.6056627,-117.0772803,814,2318,"POLYGON ((-117.079998 32.606823, -117.079811 32.606872, -117.079251 32.607021, -117.079065 32.607071, -117.078649 32.607188, -117.077401 32.607542, -117.076986 32.60766, -117.07677 32.60772, -117.076125 32.607903, -117.07591 32.607966, -117.075842 32.607792, -117.075638 32.607273, -117.075571 32.6071, -117.075565 32.607086, -117.075549 32.607045, -117.075544 32.607032, -117.07551 32.606948, -117.075411 32.606696, -117.075378 32.606612, -117.075311 32.60644, -117.075111 32.60593, -117.075045 32.60576, -117.075019 32.605694, -117.074944 32.605497, -117.074919 32.605433, -117.074888 32.605348, -117.074796 32.6051, -117.074766 32.605017, -117.074728 32.604915, -117.074613 32.604608, -117.074576 32.604507, -117.074734 32.604461, -117.075207 32.604328, -117.075366 32.604284, -117.075519 32.604241, -117.07598 32.604112, -117.076134 32.60407, -117.076215 32.604047, -117.07646 32.60398, -117.076542 32.603958, -117.076569 32.603949, -117.076651 32.603926, -117.076679 32.603919, -117.076719 32.603907, -117.076838 32.603873, -117.076879 32.603862, -117.076936 32.603845, -117.077109 32.603797, -117.077167 32.603783, -117.077226 32.603766, -117.077402 32.603715, -117.077462 32.603699, -117.077511 32.603684, -117.077661 32.603641, -117.077711 32.603628, -117.077897 32.603574, -117.078457 32.603414, -117.078644 32.603361, -117.078685 32.603467, -117.078811 32.603786, -117.078853 32.603893, -117.078871 32.603937, -117.078925 32.60407, -117.078943 32.604115, -117.078955 32.604146, -117.078993 32.604242, -117.079006 32.604274, -117.079068 32.604425, -117.079255 32.604883, -117.079318 32.605036, -117.079386 32.60522, -117.079585 32.605757, -117.079591 32.605772, -117.079662 32.605956, -117.079729 32.606129, -117.07993 32.606648, -117.079998 32.606823))",15,True,55982.0,0.34339307840467165,645.0
1106,6,73,12700,1003,060730127001003,Block 1003,G5040,U,78661.0,U,S,258357,0,32.6301403,-117.0855109,16,48,"POLYGON ((-117.089456 32.630948, -117.089052 32.631056, -117.087946 32.631354, -117.087841 32.631383, -117.087441 32.631504, -117.087023 32.631614, -117.086485 32.63176, -117.085777 32.631968, -117.085364 32.632092, -117.084999 32.632195, -117.084635 32.632298, -117.084149 32.632444, -117.083907 32.632508, -117.083683 32.632568, -117.083542 32.632609, -117.083422 32.632643, -117.083216 32.632703, -117.083062 32.632739, -117.082941 32.632768, -117.082872 32.632599, -117.082666 32.632095, -117.082598 32.631929, -117.082455 32.631532, -117.082403 32.631405, -117.082136 32.630745, -117.08178 32.629849, -117.081574 32.629331, -117.081736 32.629286, -117.082221 32.629154, -117.082384 32.629111, -117.082708 32.629019, -117.083054 32.628922, -117.083681 32.628749, -117.084006 32.62866, -117.08417 32.628613, -117.084661 32.628475, -117.084826 32.628429, -117.084981 32.628385, -117.085447 32.628253, -117.085603 32.62821, -117.086102 32.628069, -117.087476 32.627683, -117.087602 32.627648, -117.088104 32.627514, -117.088368 32.628203, -117.088637 32.628901, -117.089096 32.63006, -117.089178 32.630263, -117.089456 32.630948))",15,True,63166.0,0.24449114984304662,279.0
1084,6,73,13102,3003,060730131023003,Block 3003,G5040,U,78661.0,U,S,162641,0,32.611389,-117.0704646,523,1347,"POLYGON ((-117.073177 32.612547, -117.072716 32.612675, -117.071337 32.613062, -117.070877 32.613192, -117.070524 32.61329, -117.069467 32.613585, -117.069115 32.613685, -117.069041 32.613506, -117.068822 32.612969, -117.068769 32.612838, -117.068756 32.612788, -117.06869 32.612626, -117.068492 32.612141, -117.068427 32.61198, -117.068412 32.611942, -117.068369 32.611828, -117.068355 32.611791, -117.068251 32.611516, -117.068237 32.61148, -117.067875 32.610551, -117.067755 32.610242, -117.067904 32.610197, -117.068353 32.610062, -117.068503 32.610019, -117.068592 32.609994, -117.06886 32.609918, -117.06895 32.609895, -117.069051 32.609865, -117.069355 32.60978, -117.069457 32.609754, -117.06953 32.609733, -117.069748 32.609673, -117.069822 32.609653, -117.069908 32.609628, -117.070027 32.609596, -117.070169 32.609555, -117.070256 32.609532, -117.070377 32.609498, -117.070742 32.609395, -117.070864 32.609363, -117.071055 32.609309, -117.071628 32.609149, -117.07182 32.609096, -117.071924 32.609355, -117.072239 32.610132, -117.072345 32.610392, -117.072369 32.610456, -117.072443 32.610655, -117.072468 32.610721, -117.072508 32.610826, -117.07263 32.611142, -117.072671 32.611248, -117.072772 32.611507, -117.073075 32.612287, -117.073177 32.612547))",15,True,63305.0,0.3892314975928579,1440.0
1502,6,73,13319,2022,060730133192022,Block 2022,G5040,U,78661.0,U,S,585527,0,32.6249911,-116.9677531,25,66,"POLYGON ((-116.971176 32.625304, -116.971174 32.625752, -116.971168 32.627318, -116.971165 32.628047, -116.971163 32.628104, -116.971126 32.629369, -116.971097 32.631096, -116.97107 32.631808, -116.970764 32.631643, -116.970562 32.631561, -116.970338 32.631447, -116.970198 32.63134, -116.97001 32.631211, -116.969859 32.631098, -116.969646 32.630926, -116.969343 32.630648, -116.969289 32.630586, -116.968873 32.630105, -116.968402 32.629549, -116.968213 32.629344, -116.967967 32.629112, -116.967739 32.628922, -116.967513 32.628765, -116.967312 32.628598, -116.967198 32.628532, -116.966937 32.628397, -116.966668 32.628273, -116.966392 32.628162, -116.966204 32.628094, -116.966149 32.628076, -116.965918 32.628003, -116.965626 32.627926, -116.964564 32.627668, -116.964566 32.627618, -116.964549 32.626748, -116.964541 32.626523, -116.964517 32.626239, -116.964461 32.625852, -116.964332 32.625301, -116.96401 32.624464, -116.963643 32.623741, -116.963527 32.623531, -116.96343 32.623341, -116.963207 32.622848, -116.963116 32.622615, -116.963034 32.62238, -116.962898 32.621776, -116.962848 32.621417, -116.963726 32.621212, -116.964342 32.621116, -116.96483 32.62103, -116.965218 32.621034, -116.967319 32.62106, -116.96808 32.62107, -116.968876 32.621051, -116.969333 32.621007, -116.969787 32.620947, -116.969985 32.620914, -116.970125 32.620892, -116.970422 32.620835, -116.970574 32.620807, -116.971018 32.620706, -116.971108 32.620682, -116.971143 32.621762, -116.971187 32.623958, -116.971176 32.625304), (-116.970759 32.62598, -116.970263 32.625969, -116.969784 32.625992, -116.968857 32.626281, -116.968861 32.626867, -116.968632 32.626875, -116.96827 32.626844, -116.968223 32.627089, -116.968132 32.627376, -116.968009 32.627655, -116.968359 32.627767, -116.968827 32.627995, -116.969118 32.628195, -116.969369 32.628429, -116.969584 32.628283, -116.969784 32.628027, -116.969892 32.627873, -116.970018 32.627702, -116.970029 32.627423, -116.970001 32.626824, -116.970281 32.626849, -116.970747 32.626866, -116.970759 32.62598))",15,False,64466.0,0.11009910729991956,121.0
174,6,73,12302,1012,060730123021012,Block 1012,G5040,U,78661.0,U,S,101383,0,32.6392976,-117.0811867,94,216,"POLYGON ((-117.083646 32.639302, -117.083247 32.639408, -117.082051 32.639727, -117.081653 32.639835, -117.081722 32.640006, -117.081932 32.640521, -117.08196 32.640589, -117.08196 32.640701, -117.081855 32.640729, -117.081543 32.640819, -117.081439 32.640851, -117.08134 32.640877, -117.081044 32.640956, -117.080946 32.640983, -117.080743 32.641041, -117.080454 32.641124, -117.080135 32.641211, -117.079932 32.641268, -117.07986 32.64108, -117.079644 32.640517, -117.079572 32.64033, -117.079509 32.640169, -117.07932 32.63969, -117.079279 32.639587, -117.079253 32.639533, -117.079237 32.6395, -117.079189 32.639401, -117.079174 32.63937, -117.079161 32.639342, -117.079122 32.639262, -117.07911 32.639236, -117.079066 32.639128, -117.078958 32.638861, -117.078937 32.638807, -117.078894 32.638702, -117.079299 32.638582, -117.079413 32.63855, -117.080519 32.638239, -117.080926 32.638125, -117.081334 32.63801, -117.082561 32.637667, -117.08297 32.637553, -117.08304 32.637729, -117.08325 32.638258, -117.083321 32.638435, -117.083353 32.638515, -117.083387 32.638607, -117.083581 32.639128, -117.083646 32.639302))",15,True,66481.0,0.6557411005789925,346.0
1217,6,73,13104,3001,060730131043001,Block 3001,G5040,U,78661.0,U,S,163279,0,32.6091099,-117.0786383,353,1246,"POLYGON ((-117.081381 32.610252, -117.080964 32.610366, -117.080723 32.610435, -117.080163 32.610596, -117.079717 32.610717, -117.079402 32.610804, -117.079302 32.610835, -117.078893 32.610954, -117.078861 32.610964, -117.07868 32.61101, -117.077661 32.611293, -117.077251 32.611407, -117.077155 32.611147, -117.076867 32.610366, -117.076771 32.610107, -117.076698 32.609935, -117.076481 32.60942, -117.076409 32.609249, -117.076309 32.608992, -117.076009 32.608221, -117.07591 32.607966, -117.076125 32.607903, -117.07677 32.60772, -117.076986 32.60766, -117.077401 32.607542, -117.078649 32.607188, -117.079065 32.607071, -117.079251 32.607021, -117.079811 32.606872, -117.079998 32.606823, -117.080274 32.607508, -117.081104 32.609566, -117.081381 32.610252))",15,True,69242.0,0.42407168098775716,506.0
1078,6,73,13205,1000,060730132051000,Block 1000,G5040,U,78661.0,U,S,354830,0,32.6010064,-117.081135,320,996,"POLYGON ((-117.085263 32.603877, -117.085118 32.603862, -117.084945 32.603844, -117.084324 32.60378, -117.08421 32.603769, -117.08406 32.603759, -117.083924 32.603749, -117.083518 32.603726, -117.083384 32.603714, -117.082434 32.603627, -117.081438 32.603537, -117.079995 32.603398, -117.079588 32.603355, -117.079247 32.60332, -117.079118 32.603304, -117.078988 32.603301, -117.078843 32.603315, -117.078644 32.603361, -117.078563 32.603157, -117.078387 32.602706, -117.078323 32.602545, -117.078244 32.602341, -117.078113 32.602007, -117.077782 32.601158, -117.077722 32.601005, -117.077626 32.600759, -117.077592 32.600672, -117.077492 32.600417, -117.077192 32.599654, -117.077093 32.5994, -117.077021 32.599218, -117.076808 32.598672, -117.076737 32.59849, -117.07682 32.598489, -117.077069 32.598487, -117.077153 32.598487, -117.077253 32.598489, -117.077553 32.598495, -117.077653 32.598497, -117.078117 32.598497, -117.078802 32.598498, -117.079509 32.598491, -117.079974 32.598487, -117.080244 32.598487, -117.081054 32.598488, -117.081325 32.598489, -117.081835 32.59849, -117.082228 32.598491, -117.083114 32.59851, -117.083364 32.598509, -117.083875 32.598513, -117.083878 32.598589, -117.083927 32.598948, -117.083998 32.599466, -117.084152 32.600243, -117.084167 32.600317, -117.084252 32.600671, -117.084387 32.601228, -117.084425 32.601329, -117.085143 32.60325, -117.085383 32.60389, -117.085263 32.603877))",15,True,70295.0,0.19810895358340613,2856.0
1111,6,73,12501,1000,060730125011000,Block 1000,G5040,U,78661.0,U,S,230526,0,32.6353203,-117.0943743,839,1802,"POLYGON ((-117.097948 32.636228, -117.097596 32.636328, -117.096649 32.6366, -117.096542 32.636628, -117.096189 32.636721, -117.095385 32.636951, -117.094994 32.637064, -117.09297 32.637632, -117.092166 32.637859, -117.092085 32.637658, -117.091886 32.637165, -117.091844 32.637057, -117.091766 32.636856, -117.091732 32.636767, -117.091667 32.636598, -117.091633 32.636507, -117.0916 32.63642, -117.09159 32.636395, -117.091562 32.636325, -117.091553 32.636302, -117.091545 32.63628, -117.091521 32.636218, -117.091513 32.636198, -117.091503 32.636173, -117.091489 32.636139, -117.091475 32.636103, -117.091466 32.63608, -117.091402 32.635917, -117.091213 32.635432, -117.09115 32.635271, -117.091082 32.635098, -117.090878 32.634582, -117.090811 32.63441, -117.091191 32.6343, -117.092126 32.63403, -117.092333 32.633972, -117.092715 32.633867, -117.092864 32.633826, -117.092932 32.633808, -117.093311 32.633702, -117.093461 32.633661, -117.093536 32.63364, -117.09376 32.633577, -117.093836 32.633557, -117.093937 32.633528, -117.09424 32.63344, -117.094342 32.633413, -117.094455 32.633381, -117.094795 32.633285, -117.094909 32.633254, -117.094975 32.633235, -117.095175 32.633178, -117.095242 32.63316, -117.09529 32.633145, -117.095433 32.633103, -117.095482 32.633089, -117.095554 32.633068, -117.095772 32.633004, -117.095845 32.632985, -117.095886 32.632973, -117.09601 32.632937, -117.096052 32.632926, -117.096156 32.632896, -117.09647 32.632809, -117.096575 32.632781, -117.096614 32.63288, -117.096733 32.633177, -117.096773 32.633277, -117.096839 32.633443, -117.097038 32.633944, -117.097105 32.634111, -117.097273 32.634534, -117.097779 32.635804, -117.097948 32.636228))",15,True,72887.0,0.3161769171373294,2434.0
