num_drones,num_calls,type,percent
475,24063,Unknown,0.019739849561567553
16,0,Mislabel,inf
797,3363,Violent Crime,0.2369907820398454
250,531,Person with Weapon,0.4708097928436911
1085,11017,Suspicious Circumstances,0.09848416084233458
128,6611,Wanted Person/Vehicle,0.019361669944032673
1619,26057,Disturbance,0.06213301608013202
1266,8842,Welfare Check,0.14318027595566613
676,17240,Property Crime,0.03921113689095128
1057,27992,Traffic,0.03776078879679909
37,6508,Other,0.005685310387215734
182,2165,Public Safety,0.08406466512702078
13,321,Officer Assist,0.040498442367601244
1,1659,Community Event,0.0006027727546714888
52,1919,Missing Person,0.02709744658676394
34,1234,Drugs,0.027552674230145867
