STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,HOUSING20,POP20,geometry,len,west_cv,geometry_json
6,73,12402,2011,060730124022011,Block 2011,G5040,U,78661.0,U,S,80768,0,32.6404363,-117.0863514,172,396,"POLYGON ((-117.088724 32.640733, -117.088516 32.640788, -117.087894 32.64096, -117.087687 32.641017, -117.087486 32.64107, -117.086886 32.641236, -117.086698 32.641306, -117.086658 32.641312, -117.086598 32.64132, -117.086471 32.641355, -117.086413 32.641371, -117.085859 32.641531, -117.085675 32.641586, -117.08464 32.641848, -117.08459 32.641719, -117.084441 32.641334, -117.084392 32.641206, -117.08431 32.640993, -117.084064 32.640355, -117.083982 32.640144, -117.084656 32.639949, -117.084795 32.63991, -117.085971 32.639597, -117.086169 32.639535, -117.086512 32.639442, -117.086972 32.63931, -117.087241 32.639235, -117.088058 32.639014, -117.088191 32.639356, -117.08859 32.640389, -117.088724 32.640733))",15,True,"{""type"": ""Polygon"", ""coordinates"": [[[-117.088724, 32.640733], [-117.088516, 32.640788], [-117.087894, 32.64096], [-117.087687, 32.641017], [-117.087486, 32.64107], [-117.086886, 32.641236], [-117.086698, 32.641306], [-117.086658, 32.641312], [-117.086598, 32.64132], [-117.086471, 32.641355], [-117.086413, 32.641371], [-117.085859, 32.641531], [-117.085675, 32.641586], [-117.08464, 32.641848], [-117.08459, 32.641719], [-117.084441, 32.641334], [-117.084392, 32.641206], [-117.08431, 32.640993], [-117.084064, 32.640355], [-117.083982, 32.640144], [-117.084656, 32.639949], [-117.084795, 32.63991], [-117.085971, 32.639597], [-117.086169, 32.639535], [-117.086512, 32.639442], [-117.086972, 32.63931], [-117.087241, 32.639235], [-117.088058, 32.639014], [-117.088191, 32.639356], [-117.08859, 32.640389], [-117.088724, 32.640733]]]}"
6,73,12502,1000,060730125021000,Block 1000,G5040,U,78661.0,U,S,199735,0,32.6418278,-117.0996435,577,1500,"POLYGON ((-117.101008 32.646904, -117.100514 32.647046, -117.099431 32.647347, -117.098197 32.647692, -117.096342 32.64822, -117.096186 32.648254, -117.096178 32.648234, -117.096155 32.648173, -117.096148 32.648154, -117.096088 32.647999, -117.095909 32.647534, -117.09585 32.647379, -117.096039 32.647326, -117.096606 32.647173, -117.096796 32.647123, -117.096882 32.647098, -117.097143 32.647025, -117.09723 32.647001, -117.09749 32.646926, -117.098271 32.646703, -117.098532 32.64663, -117.098811 32.646552, -117.099614 32.646331, -117.099647 32.646312, -117.099669 32.646301, -117.099714 32.646262, -117.099746 32.646214, -117.099765 32.646162, -117.099768 32.646107, -117.099761 32.646069, -117.099679 32.645851, -117.099436 32.645197, -117.099355 32.64498, -117.099256 32.644716, -117.098959 32.643926, -117.098861 32.643664, -117.098838 32.643603, -117.09877 32.643423, -117.098748 32.643363, -117.098734 32.643327, -117.098695 32.643223, -117.098682 32.643188, -117.098667 32.643149, -117.098622 32.643031, -117.098608 32.642993, -117.098577 32.642913, -117.098484 32.642674, -117.098454 32.642595, -117.098404 32.64246, -117.098316 32.642227, -117.098254 32.64206, -117.098248 32.642044, -117.098238 32.642004, -117.098209 32.641972, -117.098172 32.641954, -117.098135 32.641939, -117.098087 32.641939, -117.097975 32.64197, -117.097388 32.642138, -117.097193 32.642194, -117.096997 32.642246, -117.096413 32.642408, -117.096218 32.642462, -117.096148 32.64228, -117.095938 32.641737, -117.095868 32.641558, -117.095854 32.641523, -117.095815 32.641422, -117.095802 32.641388, -117.095751 32.641258, -117.095599 32.640867, -117.095549 32.640738, -117.095834 32.640656, -117.096605 32.640439, -117.096692 32.640414, -117.096979 32.640336, -117.09709 32.640304, -117.097426 32.640213, -117.097538 32.640183, -117.097786 32.640115, -117.098118 32.640025, -117.09853 32.639901, -117.098778 32.639828, -117.098881 32.639797, -117.09895 32.639777, -117.099193 32.639713, -117.099247 32.639699, -117.099298 32.639686, -117.099577 32.640403, -117.100206 32.642017, -117.100326 32.642347, -117.100388 32.642563, -117.100429 32.642705, -117.100503 32.643171, -117.100523 32.64332, -117.10061 32.64397, -117.10067 32.644412, -117.100846 32.645926, -117.100864 32.646079, -117.100951 32.646574, -117.100973 32.646703, -117.101008 32.646904))",15,True,"{""type"": ""Polygon"", ""coordinates"": [[[-117.101008, 32.646904], [-117.100514, 32.647046], [-117.099431, 32.647347], [-117.098197, 32.647692], [-117.096342, 32.64822], [-117.096186, 32.648254], [-117.096178, 32.648234], [-117.096155, 32.648173], [-117.096148, 32.648154], [-117.096088, 32.647999], [-117.095909, 32.647534], [-117.09585, 32.647379], [-117.096039, 32.647326], [-117.096606, 32.647173], [-117.096796, 32.647123], [-117.096882, 32.647098], [-117.097143, 32.647025], [-117.09723, 32.647001], [-117.09749, 32.646926], [-117.098271, 32.646703], [-117.098532, 32.64663], [-117.098811, 32.646552], [-117.099614, 32.646331], [-117.099647, 32.646312], [-117.099669, 32.646301], [-117.099714, 32.646262], [-117.099746, 32.646214], [-117.099765, 32.646162], [-117.099768, 32.646107], [-117.099761, 32.646069], [-117.099679, 32.645851], [-117.099436, 32.645197], [-117.099355, 32.64498], [-117.099256, 32.644716], [-117.098959, 32.643926], [-117.098861, 32.643664], [-117.098838, 32.643603], [-117.09877, 32.643423], [-117.098748, 32.643363], [-117.098734, 32.643327], [-117.098695, 32.643223], [-117.098682, 32.643188], [-117.098667, 32.643149], [-117.098622, 32.643031], [-117.098608, 32.642993], [-117.098577, 32.642913], [-117.098484, 32.642674], [-117.098454, 32.642595], [-117.098404, 32.64246], [-117.098316, 32.642227], [-117.098254, 32.64206], [-117.098248, 32.642044], [-117.098238, 32.642004], [-117.098209, 32.641972], [-117.098172, 32.641954], [-117.098135, 32.641939], [-117.098087, 32.641939], [-117.097975, 32.64197], [-117.097388, 32.642138], [-117.097193, 32.642194], [-117.096997, 32.642246], [-117.096413, 32.642408], [-117.096218, 32.642462], [-117.096148, 32.64228], [-117.095938, 32.641737], [-117.095868, 32.641558], [-117.095854, 32.641523], [-117.095815, 32.641422], [-117.095802, 32.641388], [-117.095751, 32.641258], [-117.095599, 32.640867], [-117.095549, 32.640738], [-117.095834, 32.640656], [-117.096605, 32.640439], [-117.096692, 32.640414], [-117.096979, 32.640336], [-117.09709, 32.640304], [-117.097426, 32.640213], [-117.097538, 32.640183], [-117.097786, 32.640115], [-117.098118, 32.640025], [-117.09853, 32.639901], [-117.098778, 32.639828], [-117.098881, 32.639797], [-117.09895, 32.639777], [-117.099193, 32.639713], [-117.099247, 32.639699], [-117.099298, 32.639686], [-117.099577, 32.640403], [-117.100206, 32.642017], [-117.100326, 32.642347], [-117.100388, 32.642563], [-117.100429, 32.642705], [-117.100503, 32.643171], [-117.100523, 32.64332], [-117.10061, 32.64397], [-117.10067, 32.644412], [-117.100846, 32.645926], [-117.100864, 32.646079], [-117.100951, 32.646574], [-117.100973, 32.646703], [-117.101008, 32.646904]]]}"
6,73,12401,1021,060730124011021,Block 1021,G5040,U,78661.0,U,S,0,12449,32.6527636,-117.0960278,0,1,"POLYGON ((-117.097881 32.652596, -117.097469 32.652667, -117.096236 32.652881, -117.095825 32.652953, -117.095577 32.65299, -117.095458 32.653004, -117.094971 32.653065, -117.094362 32.653176, -117.094323 32.653184, -117.094007 32.65328, -117.093974 32.653294, -117.093921 32.653317, -117.093834 32.653354, -117.093701 32.653413, -117.093666 32.65343, -117.093639 32.653444, -117.093556 32.653237, -117.093612 32.653218, -117.093766 32.653165, -117.093873 32.653129, -117.093961 32.653101, -117.094383 32.652988, -117.094823 32.652872, -117.095662 32.65271, -117.096092 32.65263, -117.096416 32.652538, -117.097392 32.652262, -117.097717 32.652171, -117.097749 32.652254, -117.097848 32.65251, -117.097881 32.652596))",15,True,"{""type"": ""Polygon"", ""coordinates"": [[[-117.097881, 32.652596], [-117.097469, 32.652667], [-117.096236, 32.652881], [-117.095825, 32.652953], [-117.095577, 32.65299], [-117.095458, 32.653004], [-117.094971, 32.653065], [-117.094362, 32.653176], [-117.094323, 32.653184], [-117.094007, 32.65328], [-117.093974, 32.653294], [-117.093921, 32.653317], [-117.093834, 32.653354], [-117.093701, 32.653413], [-117.093666, 32.65343], [-117.093639, 32.653444], [-117.093556, 32.653237], [-117.093612, 32.653218], [-117.093766, 32.653165], [-117.093873, 32.653129], [-117.093961, 32.653101], [-117.094383, 32.652988], [-117.094823, 32.652872], [-117.095662, 32.65271], [-117.096092, 32.65263], [-117.096416, 32.652538], [-117.097392, 32.652262], [-117.097717, 32.652171], [-117.097749, 32.652254], [-117.097848, 32.65251], [-117.097881, 32.652596]]]}"
6,73,12401,1019,060730124011019,Block 1019,G5040,U,78661.0,U,S,277794,0,32.6508184,-117.0932197,1,26,"POLYGON ((-117.097606 32.651883, -117.097177 32.652013, -117.096683 32.652138, -117.096543 32.652173, -117.096311 32.652233, -117.095747 32.652402, -117.095581 32.652453, -117.094052 32.652893, -117.093704 32.652993, -117.093487 32.653057, -117.09342 32.652884, -117.092689 32.653099, -117.092684 32.653041, -117.092684 32.652958, -117.092699 32.652928, -117.092754 32.652855, -117.092842 32.652769, -117.092912 32.652692, -117.092979 32.652656, -117.093014 32.652634, -117.093065 32.652618, -117.093131 32.652601, -117.093111 32.652534, -117.092774 32.651598, -117.092507 32.651666, -117.092439 32.651683, -117.091928 32.651814, -117.0915 32.651924, -117.090161 32.652322, -117.089597 32.652475, -117.088818 32.652688, -117.088805 32.652653, -117.088766 32.652549, -117.088754 32.652515, -117.088604 32.652119, -117.088154 32.650931, -117.088005 32.650536, -117.088818 32.65031, -117.089016 32.650262, -117.090393 32.649868, -117.090649 32.649806, -117.091261 32.64963, -117.092074 32.649398, -117.09222 32.649357, -117.09266 32.649236, -117.092807 32.649197, -117.093482 32.649008, -117.09551 32.648442, -117.096186 32.648254, -117.096297 32.648535, -117.09663 32.649378, -117.096675 32.64949, -117.096742 32.64966, -117.09679 32.649782, -117.096936 32.650151, -117.096985 32.650274, -117.097106 32.650588, -117.097248 32.650957, -117.097323 32.651152, -117.097469 32.651532, -117.097523 32.651672, -117.097562 32.651772, -117.097592 32.651847, -117.097606 32.651883))",15,True,"{""type"": ""Polygon"", ""coordinates"": [[[-117.097606, 32.651883], [-117.097177, 32.652013], [-117.096683, 32.652138], [-117.096543, 32.652173], [-117.096311, 32.652233], [-117.095747, 32.652402], [-117.095581, 32.652453], [-117.094052, 32.652893], [-117.093704, 32.652993], [-117.093487, 32.653057], [-117.09342, 32.652884], [-117.092689, 32.653099], [-117.092684, 32.653041], [-117.092684, 32.652958], [-117.092699, 32.652928], [-117.092754, 32.652855], [-117.092842, 32.652769], [-117.092912, 32.652692], [-117.092979, 32.652656], [-117.093014, 32.652634], [-117.093065, 32.652618], [-117.093131, 32.652601], [-117.093111, 32.652534], [-117.092774, 32.651598], [-117.092507, 32.651666], [-117.092439, 32.651683], [-117.091928, 32.651814], [-117.0915, 32.651924], [-117.090161, 32.652322], [-117.089597, 32.652475], [-117.088818, 32.652688], [-117.088805, 32.652653], [-117.088766, 32.652549], [-117.088754, 32.652515], [-117.088604, 32.652119], [-117.088154, 32.650931], [-117.088005, 32.650536], [-117.088818, 32.65031], [-117.089016, 32.650262], [-117.090393, 32.649868], [-117.090649, 32.649806], [-117.091261, 32.64963], [-117.092074, 32.649398], [-117.09222, 32.649357], [-117.09266, 32.649236], [-117.092807, 32.649197], [-117.093482, 32.649008], [-117.09551, 32.648442], [-117.096186, 32.648254], [-117.096297, 32.648535], [-117.09663, 32.649378], [-117.096675, 32.64949], [-117.096742, 32.64966], [-117.09679, 32.649782], [-117.096936, 32.650151], [-117.096985, 32.650274], [-117.097106, 32.650588], [-117.097248, 32.650957], [-117.097323, 32.651152], [-117.097469, 32.651532], [-117.097523, 32.651672], [-117.097562, 32.651772], [-117.097592, 32.651847], [-117.097606, 32.651883]]]}"
6,73,12402,3001,060730124023001,Block 3001,G5040,U,78661.0,U,S,59107,0,32.6443304,-117.0930306,238,709,"POLYGON ((-117.094847 32.64478, -117.094674 32.644827, -117.094155 32.644976, -117.093982 32.645025, -117.093865 32.645057, -117.093518 32.645153, -117.093402 32.645186, -117.093097 32.645269, -117.092186 32.645522, -117.091882 32.645606, -117.091747 32.64526, -117.091344 32.644224, -117.09121 32.643879, -117.091804 32.643715, -117.092726 32.643462, -117.093587 32.643217, -117.094181 32.643051, -117.094314 32.643396, -117.094713 32.644433, -117.094847 32.64478))",15,True,"{""type"": ""Polygon"", ""coordinates"": [[[-117.094847, 32.64478], [-117.094674, 32.644827], [-117.094155, 32.644976], [-117.093982, 32.645025], [-117.093865, 32.645057], [-117.093518, 32.645153], [-117.093402, 32.645186], [-117.093097, 32.645269], [-117.092186, 32.645522], [-117.091882, 32.645606], [-117.091747, 32.64526], [-117.091344, 32.644224], [-117.09121, 32.643879], [-117.091804, 32.643715], [-117.092726, 32.643462], [-117.093587, 32.643217], [-117.094181, 32.643051], [-117.094314, 32.643396], [-117.094713, 32.644433], [-117.094847, 32.64478]]]}"
6,73,12402,3000,060730124023000,Block 3000,G5040,U,78661.0,U,S,22904,0,32.6449015,-117.0909713,72,198,"POLYGON ((-117.091882 32.645606, -117.091651 32.645671, -117.091416 32.645738, -117.090959 32.64586, -117.090729 32.645922, -117.090595 32.645576, -117.090196 32.64454, -117.090063 32.644195, -117.090292 32.644131, -117.09098 32.64394, -117.09121 32.643879, -117.091344 32.644224, -117.091747 32.64526, -117.091882 32.645606))",15,True,"{""type"": ""Polygon"", ""coordinates"": [[[-117.091882, 32.645606], [-117.091651, 32.645671], [-117.091416, 32.645738], [-117.090959, 32.64586], [-117.090729, 32.645922], [-117.090595, 32.645576], [-117.090196, 32.64454], [-117.090063, 32.644195], [-117.090292, 32.644131], [-117.09098, 32.64394], [-117.09121, 32.643879], [-117.091344, 32.644224], [-117.091747, 32.64526], [-117.091882, 32.645606]]]}"
6,73,12402,2008,060730124022008,Block 2008,G5040,U,78661.0,U,S,20091,0,32.6423053,-117.086514,22,61,"POLYGON ((-117.087355 32.643034, -117.087152 32.643087, -117.086543 32.643248, -117.086341 32.643302, -117.086207 32.642958, -117.085808 32.641928, -117.085675 32.641586, -117.085859 32.641531, -117.086413 32.641371, -117.086471 32.641355, -117.086598 32.64132, -117.086658 32.641312, -117.086819 32.641641, -117.087221 32.642685, -117.087355 32.643034))",15,True,"{""type"": ""Polygon"", ""coordinates"": [[[-117.087355, 32.643034], [-117.087152, 32.643087], [-117.086543, 32.643248], [-117.086341, 32.643302], [-117.086207, 32.642958], [-117.085808, 32.641928], [-117.085675, 32.641586], [-117.085859, 32.641531], [-117.086413, 32.641371], [-117.086471, 32.641355], [-117.086598, 32.64132], [-117.086658, 32.641312], [-117.086819, 32.641641], [-117.087221, 32.642685], [-117.087355, 32.643034]]]}"
6,73,12402,2006,060730124022006,Block 2006,G5040,U,78661.0,U,S,20809,0,32.6443202,-117.0861621,41,127,"POLYGON ((-117.087029 32.645043, -117.086814 32.645092, -117.086186 32.645273, -117.085977 32.645333, -117.085842 32.644987, -117.085514 32.64414, -117.085441 32.643951, -117.085308 32.643606, -117.085514 32.643545, -117.086134 32.643362, -117.086341 32.643302, -117.086415 32.643493, -117.086639 32.644067, -117.086714 32.644259, -117.08702 32.645027, -117.087029 32.645043))",15,True,"{""type"": ""Polygon"", ""coordinates"": [[[-117.087029, 32.645043], [-117.086814, 32.645092], [-117.086186, 32.645273], [-117.085977, 32.645333], [-117.085842, 32.644987], [-117.085514, 32.64414], [-117.085441, 32.643951], [-117.085308, 32.643606], [-117.085514, 32.643545], [-117.086134, 32.643362], [-117.086341, 32.643302], [-117.086415, 32.643493], [-117.086639, 32.644067], [-117.086714, 32.644259], [-117.08702, 32.645027], [-117.087029, 32.645043]]]}"
6,73,12402,2005,060730124022005,Block 2005,G5040,U,78661.0,U,S,33837,0,32.6439401,-117.0875284,94,281,"POLYGON ((-117.088651 32.644585, -117.088489 32.64464, -117.088436 32.644659, -117.088153 32.644733, -117.087306 32.644958, -117.087029 32.645043, -117.08702 32.645027, -117.086714 32.644259, -117.086639 32.644067, -117.086415 32.643493, -117.086341 32.643302, -117.086543 32.643248, -117.087152 32.643087, -117.087355 32.643034, -117.087493 32.642995, -117.087906 32.642879, -117.088045 32.642842, -117.088117 32.643031, -117.088335 32.6436, -117.088408 32.64379, -117.088467 32.643945, -117.088645 32.64441, -117.088705 32.644567, -117.088651 32.644585))",15,True,"{""type"": ""Polygon"", ""coordinates"": [[[-117.088651, 32.644585], [-117.088489, 32.64464], [-117.088436, 32.644659], [-117.088153, 32.644733], [-117.087306, 32.644958], [-117.087029, 32.645043], [-117.08702, 32.645027], [-117.086714, 32.644259], [-117.086639, 32.644067], [-117.086415, 32.643493], [-117.086341, 32.643302], [-117.086543, 32.643248], [-117.087152, 32.643087], [-117.087355, 32.643034], [-117.087493, 32.642995], [-117.087906, 32.642879], [-117.088045, 32.642842], [-117.088117, 32.643031], [-117.088335, 32.6436], [-117.088408, 32.64379], [-117.088467, 32.643945], [-117.088645, 32.64441], [-117.088705, 32.644567], [-117.088651, 32.644585]]]}"
6,73,12402,2003,060730124022003,Block 2003,G5040,U,78661.0,U,S,16643,0,32.6451758,-117.0899776,22,104,"POLYGON ((-117.090729 32.645922, -117.090561 32.645968, -117.09006 32.646109, -117.089893 32.646156, -117.089759 32.645811, -117.08936 32.644778, -117.089227 32.644434, -117.089394 32.644385, -117.089895 32.644242, -117.090063 32.644195, -117.090196 32.64454, -117.090595 32.645576, -117.090729 32.645922))",15,True,"{""type"": ""Polygon"", ""coordinates"": [[[-117.090729, 32.645922], [-117.090561, 32.645968], [-117.09006, 32.646109], [-117.089893, 32.646156], [-117.089759, 32.645811], [-117.08936, 32.644778], [-117.089227, 32.644434], [-117.089394, 32.644385], [-117.089895, 32.644242], [-117.090063, 32.644195], [-117.090196, 32.64454], [-117.090595, 32.645576], [-117.090729, 32.645922]]]}"
