lat_map,lon_map,time,id,date_x,time_s,address_map,incident_id,type,department,clean-type,match,population_exposed,households_exposed,total_blocks,date_y
32.63998083,-117.08271223,1:55pm,55a1fb6dab54e24b8537c7f12a4fe725,2021-07-01,1:55pm,315 4th Ave,,,cvpd,,,11932.0,4474.0,30.0,2021-07-01
32.61408,-116.975275,4:20pm,15759cef724c96374c1a93419d41dd53,2021-07-01,4:20pm,WOLF CANYON/PEABODY,L054372,DOMESTIC VIOLENCE,cvpd,domestic violence,54372,1635.0,491.0,14.0,2021-07-01
32.630147,-117.094228,4:09pm,b7235cf661360dc6e3ad6dad7aff335f,2021-07-01,4:09pm,745 H,L054334,UNKNOWN PROBLEM,cvpd,unknown problem,54334,,,,
32.6483145,-117.092483,4:02pm,171d95280b64377eafadaef80590acd0,2021-07-01,4:02pm,500 SEA VALE CT,L054331,TRAFFIC COLLISION,cvpd,traffic collision,54331,,,,
32.6175204,-117.0713635,3:05pm,2dde46cad7d7d0103a9b42dcf9514aec,2021-07-01,3:05pm,330 MOSS,L054364,DOMESTIC VIOLENCE,cvpd,domestic violence,54364,2326.0,842.0,2.0,2021-07-01
32.6466667,-117.0032005,2:20pm,191104f80d1f83e28e6baac695d4fa47,2021-07-01,2:20pm,700 OTAY LAKES,L054347,MENTAL ISSUE,cvpd,mental issue,54347,2410.0,843.0,3.0,2021-07-01
32.6072314,-117.0304996,1:40pm,310625cab3008432b070b7041b13abbf,2021-07-01,1:40pm,1500 Concord Wy.,CV2108267,Assault with Deadly Weapon,cvpd,assault with deadly weapon,08267,,,,
32.6459838,-116.9666406,1:20pm,047e34e7c5f41d7f7a31569dba73555e,2021-07-01,1:20pm,TELEGRAPH/OTAY LAKES,L054300,TRAFFIC HAZARD,cvpd,traffic hazard,54300,,,,
32.6234937,-117.0560093,1:17pm,ba51299e056e8b83b117aad6f363482f,2021-07-01,1:17pm,900 BARRETT,L054318,FIGHT,cvpd,fight,54318,1250.0,442.0,3.0,2021-07-01
32.6370094,-117.0594128,12:32pm,e8a55fc6c6a11874d25dd6373c954b24,2021-07-01,12:32pm,555 CLAIRE,L054289,WELFARE CHECK,cvpd,welfare check,54289,,,,
